ZTIME,WSR_ID,CELL_ID,STR_RANK,SCIT_ID,RANGE,AZIMUTH,LL_ROT_VEL,LL_DV,LL_BASE,DEPTH_KFT,DPTH_STMRL,MAX_RV_KFT,MAX_RV_KTS,TVS,MOTION_DEG,MOTION_KTS,MSI,LAT,LON
2011-05-24T00:29:18Z,KVNX,379,5L,D2,48,183,33,43,4,10,34,6,37,N,-999,-999,3695,35.941,-98.180
2011-05-24T00:29:59Z,KSRX,196,5L,H3,156,285,28,43,27,23,46,27,28,N,-999,-999,2047,35.925,-97.455
2011-05-24T00:31:46Z,KINX,844,10,H4,108,255,55,70,14,22,97,14,55,N,308,13,4890,35.689,-97.699
2011-05-24T00:31:46Z,KINX,402,6,K7,92,260,26,29,11,19,84,20,40,N,-999,-999,3029,35.894,-97.423
2011-05-24T00:32:57Z,KTLX,346,6,E1,57,312,33,24,6,27,92,10,45,N,302,12,3599,35.966,-98.148
2011-05-24T00:35:20Z,KICT,182,10,S5,107,198,46,66,15,21,100,15,46,N,304,17,4698,35.954,-98.122
2011-05-24T00:36:15Z,KINX,844,7,H4,105,256,38,50,14,21,96,23,46,N,229,23,4147,35.733,-97.650
2011-05-24T00:36:15Z,KINX,515,7,W3,89,259,37,33,10,13,60,14,38,N,349,6,4277,35.878,-97.356
2011-05-24T00:37:03Z,KOKC,329,4,H2,25,345,16,18,7,17,0,14,26,N,27,41,1861,35.679,-97.642
2011-05-24T00:37:03Z,KOKC,330,3,H2,28,344,16,28,8,19,0,24,32,N,0,0,2023,35.725,-97.668
2011-05-24T00:37:23Z,KFDR,207,10,E8,105,23,50,78,14,20,100,14,50,N,318,11,4794,35.973,-98.135
2011-05-24T00:37:23Z,KFDR,208,6,E8,108,25,27,45,15,22,100,19,27,N,328,20,2996,35.992,-98.040
...TRIMMED...
summary
count,1465
totalTimeInSeconds,0.159
