ZTIME,WSR_ID,CELL_ID,PROB,SEVPROB,MAXSIZE,LAT,LON
2011-05-24T22:42:54Z,KVNX,G2,100,80,1.75,35.303,-97.525
2011-05-24T22:46:51Z,KFDR,U1,100,60,1.25,35.330,-97.505
2011-05-24T22:47:35Z,KVNX,G2,100,50,1.25,35.344,-97.508
2011-05-24T23:09:27Z,KINX,Z7,100,90,3.25,35.340,-97.525
summary
count,4
totalTimeInSeconds,0.0
